row_number,review_selected,sentiment,sentimiento
10,"Phil El alienígena es una de esas películas peculiares donde el humor se basa en la rareza de todo en lugar de los Punchlines reales. En primer lugar, fue muy extraño y bastante divertido, pero a medida que avanzaba la película. Ya no encontré los chistes o la rareza.Es una película de bajo presupuesto (eso nunca es un problema en sí mismo), hubo algunos personajes bastante interesantes, pero eventualmente acabo de perder interés. Me imagino que esta película atraería a un Stoner que participe actualmente. Para algo similar, pero mejor intente ""hermanode otro planeta """,negative,negativo
11,"I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.As a young kid going to these cheesy B films on Saturday afternoons, I still was tired of the formula for these monster type movies that usually included the hero, a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. I didn't care much for the romantic angle as a 12 year old and the predictable plots. I love them now for the unintentional humor.But, about a year or so later, I saw Psycho when it came out and I loved that the star, Janet Leigh, was bumped off early in the film. I sat up and took notice at that point. Since screenwriters are making up the story, make it up to be as scary as possible and not from a well-worn formula. There are no rules.",negative,negativo
12,"Así que no soy un gran fanático del trabajo de Boll, pero de nuevo no muchos son. Disfruté su postal de la película (tal vez soy la única). Casco aparentemente compró los derechos para usar con diferencia de mucho tiempo, incluso antes de que el juego en sí se haya finalizado. Las personas que han disfrutado de matar a Mercs e infiltrantes laboratorios secretos de investigación ubicados en una isla tropical deben ser advertidos, que esto no está muy lejos ... Esto es algo que el Mr Boll se ha unido junto con su legión de Schmucks .. Sentir a Loneley en el set El señor Boll invita a tres de sus compatriotas para jugar. Estos jugadores van por los nombres de Til Schweiger, Udo Kier y Ralf Moeller.Tres, los nombres que realmente los han hecho, bastante grandes en la película Biz. Así que el cuento va así, Jack Carver interpretó a Til Schweiger (sí, SI CARVER es alemán, todo el brátwurst come dudes. VERDADERO a toda la agenda de Carver, pero solo vimos a Carver en una perspectiva de primera persona, por lo que realmente no sabemos lo que parecía cuando estaba pateando a un ** .. Sin embargo, la historia en esta película está más allá de los monos. Vemos al malvado científico loco, el Dr. Krieger interpretado por Udo Kier, lo que hace que los soldados genéticamente mutados o GMS a medida que se llaman. Realizando su investigación secreta en una isla que me recuerda a ""Spoiler"" Vancouver por alguna razón. Eso no tiene palmeras aquí. En su lugar, tenemos un bonito leñador rico en madera. Ni siquiera nos hemos ido mucho antes de empezar a llorar (MEHEHE), no puedo continuar .. Si quieres mantenernos fieles a los chuloles de Shenanigans, vaya a ver esta película, no se sentirá decepcionado, le decepcionará a la verdadera experiencia de Boll, lo que significa La mayoría de ella se chupará. Hay algunas cosas que vale la pena mencionar que implicaría que Boll hizo un buen trabajo en algunas áreas de la película, como algunas bonitas escenas de bote y luchas. Hasta que todo el escuadrón de GMS cromado / albino entra en la escena y todo me hace reír. La película llora lejos de Scheisse (eso es caca para ti simplones) de un Fa, r Si quieres tomar un wiff, adelante ... BTW Carver Obtiene un compañero muy molesto que te hace querer dispararle los primeros tres minutos que está en la pantalla.",negative,negativo
13,"The cast played Shakespeare.Shakespeare lost.I appreciate that this is trying to bring Shakespeare to the masses, but why ruin something so good.Is it because 'The Scottish Play' is my favorite Shakespeare? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.In other words, you cannot improve perfection.I have no more to write but as I have to write at least ten lines of text (and English composition was never my forte I will just have to keep going and say that this movie, as the saying goes, just does not cut it.",negative,negativo
14,This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack (The man of constant sorrow). I recommand this movie to everybody. Greetings Bart,positive,positivo
15,"Kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen. Sort of like a high school film project. What was Rosanna Arquette thinking?? And what was with all those stock characters in that bizarre supposed Midwest town? Pretty hard to get involved with this one. No lessons to be learned from it, no brilliant insights, just stilted and quite ridiculous (but lots of skin, if that intrigues you) videotaped nonsense....What was with the bisexual relationship, out of nowhere, after all the heterosexual encounters. And what was with that absurd dance, with everybody playing their stereotyped roles? Give this one a pass, it's like a million other miles of bad, wasted film, money that could have been spent on starving children or Aids in Africa.....",negative,negativo
16,"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.",positive,positivo
17,"This movie made it into one of my top 10 most awful movies. Horrible. There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development, they were too busy running from one sword fight to another. I had no emotional attachment (except to the big bad machine that wanted to destroy them) Scenes were blatantly stolen from other movies, LOTR, Star Wars and Matrix. Examples>The ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. >The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????>And the whole machine vs. humans theme WAS the Matrix..or Terminator.....There are more examples but why waste the time? And will someone tell me what was with the Nazi's?!?! Nazi's???? There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. Just awful. A real disappointment to say the least. Save your money.",negative,negativo
18,"Recuerdo esta película, fue la primera película que había visto en el cine. La foto era oscura en los lugares. Estaba muy nervioso, estaba de vuelta en 74/75, mi papá me llevó a mi hermano y hermana de Newbury Cinema en Newbury Berkshire Inglaterra.Recuerdo a los Tigres y la gran cantidad de nieve en la película también la aparición del actor de Adams Grizzly Dan Haggery, creo que uno de los tigres se dispara y muere.Si alguien sabe dónde encontrar esto en DVD, etc., hágamelo saber. El cine ahora se ha convertido en un gimnasio, que es una vergüenza muy grande, ya que el cine más cercano ya está a 20 millas de distancia, le encantaría escuchar a otros que han vistoEsta película o cualquier otra como ella.",positive,positivo
19,"Una película horrible!Debe haber estado en contra de algunos apestos reales para ser nominados para el Golden Globe.Han tomado la historia del primer pintor renacentista femenino famoso y lo destrozó más allá del reconocimiento.Mi queja no es que hayan tomado libertades con los hechos;Si la historia fuera buena, eso podría estar perfectamente bien.Pero es simplemente extraño, por todas las cuentas, la verdadera historia de este artista habría logrado una película mucho mejor, ¿por qué se les ocurrió este script sordo y aburrido?Supongo que no había suficientes personas desnudas en la versión fáctica.Está corriendo apresuradamente al final con un resumen de la vida del artista, podríamos habernos salvado un par de horas si habían favorecido el resto de la película con la misma brevedad.",negative,negativo
20,"After the success of Die Hard and it's sequels it's no surprise really that in the 1990s, a glut of 'Die Hard on a .....' movies cashed in on the wrong guy, wrong place, wrong time concept. That is what they did with Cliffhanger, Die Hard on a mountain just in time to rescue Sly 'Stop or My Mom Will Shoot' Stallone's career.Cliffhanger is one big nit-pickers dream, especially to those who are expert at mountain climbing, base-jumping, aviation, facial expressions, acting skills. All in all it's full of excuses to dismiss the film as one overblown pile of junk. Stallone even managed to get out-acted by a horse! However, if you an forget all the nonsense, it's actually a very lovable and undeniably entertaining romp that delivers as plenty of thrills, and unintentionally, plenty of laughs.You've got to love John Lithgows sneery evilness, his tick every box band of baddies, and best of all, the permanently harassed and hapless 'turncoat' agent, Rex Linn as Travers.He may of been Henry in 'Portrait of a Serial Killer' but Michael Rooker is noteworthy for a cringe-worthy performance as Hal, he insists on constantly shrieking in painful disbelief at his captors 'that man never hurt anybody' And whilst he surely can't be, it really does look like Ralph Waite's Frank character is grinning as the girl plummets to her death.Mention too must go to former 'London's Burning' actor Craig Fairbrass as the Brit bad guy, who comes a cropper whilst using Hal as a Human Football, yes, you can't help enjoy that bit, Hal needed a good kicking.So forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy! And if you're looking for Qaulen, he's the one wearing the helicopter.",positive,positivo
21,"I had the terrible misfortune of having to view this ""b-movie"" in it's entirety.All I have to say is--- save your time and money!!! This has got to be the worst b-movie of all time, it shouldn't even be called a b-movie, more like an f-movie! Because it fails in all aspects that make a good movie: the story is not interesting at all, all of the actors are paper-thin and not at all believable, it has bad direction and the action sequences are so fake it's almost funny.......almost.The movie is just packed full of crappy one-liners that no respectable person could find amusing in the least little bit.This movie is supposed to be geared towards men, but all the women in it are SO utterly unattractive, especially that old wrinkled thing that comes in towards the end. They try to appear sexy in those weird, horrible costumes and they fail miserably!!!Even some of the most ridiculous b-movies will still give you some laughs, but this is just too painful to watch!!",negative,negativo
22,"What an absolutely stunning movie, if you have 2.5 hrs to kill, watch it, you won't regret it, it's too much fun! Rajnikanth carries the movie on his shoulders and although there isn't anything more other than him, I still liked it. The music by A.R.Rehman takes time to grow on you but after you heard it a few times, you really start liking it.",positive,positivo
23,"En primer lugar, vamos a obtener algunas cosas directamente aquí: a) Soy un abanico de anime, siempre ha sido de hecho (solía ver a Speed ​​Racer todo el tiempo en preescolar). b) Me gustan las varias películas B porque son hilarantes. c) Me gustan las películas de Godzilla, mucho. Muchas veces, cuando se enciende la película, parece que va a ser tu película de B de usual, hasta el FX de Mierda, ¡pero todo un auge repentino! ¡El anime se enciende! Esto es cuando la película va wwwaaaaayyyyyy cuesta abajo. ¡La animación es muy mala y barata, incluso peor que lo que recuerdo de Speed ​​Racer, ¡para CrissTakes! De hecho, es tan barato, una de las pocas escenas de la película que ""vívidamente"" recuerda es cuando un grupo de niños se queda sin escuela ... ¡y son los mismos niños una y otra vez! El FX también es terrible; Los dinosaurios se ven peor que Godzilla. Además, la transición a la acción en vivo a la animación es desorganizada, el diálogo y las voces (especialmente el doblaje inglés que vio) era horrible y estaba rogando que mi padre saliera de la cinta del reproductor de DVD / VHS; Lo único que me mantuvo sobrevivido fue agrietar bromas y comentarios como los robots y Joel / Mike en MST3K (elige la temporada). Honestamente, esta es la única forma de disfrutar apenas de disfrutar de esta película y sobrevivirlo al mismo tiempo. ""Deck, estoy planeando mostrarle esto a otro compañero Otaku Pal mío en Halloween para una noche de cine B. Debido a que es estúpido, bastante doloroso ver y involuntariamente divertido al mismo tiempo, le doy a esta película un 3/10, una mejora del 0,5/10 que originalmente voy a dar. (De acuerdo con mi escala de calificación: 3 / 10 significa bastante aburrido y mal. Tan divertido como contar con tres a menos que encuentre una manera de burlarse de ello, entonces se volverá tan divertido como contando hasta 15.)",negative,negativo
24,This was the worst movie I saw at WorldFest and it also received the least amount of applause afterwards! I can only think it is receiving such recognition based on the amount of known actors in the film. It's great to see J.Beals but she's only in the movie for a few minutes. M.Parker is a much better actress than the part allowed for. The rest of the acting is hard to judge because the movie is so ridiculous and predictable. The main character is totally unsympathetic and therefore a bore to watch. There is no real emotional depth to the story. A movie revolving about an actor who can't get work doesn't feel very original to me. Nor does the development of the cop. It feels like one of many straight-to-video movies I saw back in the 90s ... And not even a good one in those standards.,negative,negativo
25,"La historia de Karen Carpenter muestra un poco más sobre la vida compleja de Cantante Karen Carpenter.Aunque falla en dar hechos precisos, y detalles. Cynthia gibb (Portes Karen) no fue una buena elección.Ella es una buena actriz, pero juega muy ingenuamente y tipo de carpintero karen tonto.Creo que el papel necesitaba un carácter más fuerte.Alguien con una personalidad más fuerte. El papel de Fletcher, ya que Agnes Carpenter es excelente, ella hace un gran trabajo como la madre de Karen. Tiene grandes canciones, que podrían haberse incluido en un álbum de banda sonora.Lamentablemente, no lo fueron, aunque esta película estaba en la cima de las calificaciones en Estados Unidos y otros países.",positive,positivo
26,"""La célula"" es una obra maestra exótica, un viaje mareante no solo en la vasta mente de un asesino en serie, sino también en uno de un director muy talentoso. Esta es la evidencia concluyente de lo que se puede lograr si los seres humanos desatan sus imaginaciones desinhibidas. Esta es la audacia en el trabajo, empujando a un lado los pensamientos para caer en fórmulas y clichés y crear algo verdaderamente magnífico. Esta es la mejor película del año hasta la fecha. He leído numerosas quejas sobre esta película, en cualquier lugar de todo tipo de estilo y ninguna sustancia a personajes mal fundamentados y malas actuaciones. Para criticar negativamente a esta película es perder el punto. Esta película puede ser un hito, una tradición donde ocurra futuras películas. ""La celda"" acaba de abrir la puerta a otro mundo de la imaginación. Entonces, ¿podemos golpear la puerta en su cara y decirle a él y a su director Tarsem Singh que ya no queremos más? Personalmente, me gustaría darle la bienvenida a otra película de Tarsem, y me encantaría ver a alguien tratar de desafiarlo. Todos escuchamos hablar de ir dentro de la mente de un asesino en serie, y sí, estoy de acuerdo en que el ""género"" Es un poco excesivo. Los años 90 estaban llenos de películas que intentaban representar lo que hace que los asesinatos en serie se registren; Algunos de ellos trabajaron, pero la mayoría fracasó. Pero ""la célula"" no arma el mismo sendero, nos dan un nuevo giro, nos transportamos físicamente a la mente y nos presentamos nada menos que un viaje fascinante de la materia más misteriosa, siempre estudiada. Me gusta cómo la película No nos baula con demasiada jerga científica tratando de explicar cómo Jennifer López realmente entra en el cerebro de otro. En su lugar, ella solo se encuentra en una mesa de laboratorio y está envuelta con lo que parece muy larga twizzlers y se jacta en otra entidad. ""La celda"" quiere dejarte ""ver"" de qué se trata y no ""cómo"" se trata, y supongo que eso es lo que a algunas personas no les gusta. Es cierto, me gustan las explicaciones con mis películas, pero cuando una película se aventura en un nuevo terreno, debes dejarlo hacer lo que desea y simplemente tomarlo en. Noté cómo la película era muy oscura cuando mostraba la realidad, tal vez contrastar el brillante. Visuales cuando se encuentran dentro del cerebro de otro. No obstante, el diseño establecido era simplemente asombroso. No me sorprendería si esta película se llevara a casa unos pocos Oscars en cinematografía, los mejores disfraces, el mejor director y similares. Si estuviera depende de mí, al menos se nominaría para la mejor imagen. Me he dado cuenta de que me he estado repitiendo. No porque no haya nada más que decir, sino porque no puedo enfatizar lo suficiente, lo fantástico que pensé ""la celda"" era. Si entras en la película con una mente muy abierta y para que te tomes con las maravillas y una fiesta de cobertura de ojos, entonces te aseguraste un buen momento. Supongo que esta película fue un poco demasiado para algunas personas, escribiéndola como ""extraña"" o ""loca"". Estoy mucho en la psicología y la imaginación de la mente humana, así que estaba en mi callejón. Saliendo del teatro, escuché a un miembro de la audiencia decir: ""Quienquiera que haya hecho esa película, seguramente hizo muchas buenas drogas"". Si es así, quiero lo que estaba fumando. **** (de 4)",positive,positivo
27,"Esta película trató de ser demasiadas cosas, todo a la vez: punzando sátiras políticas, Hollywood Blockbuster, comedia romántica de Sappy, valores familiares promo ... la lista sigue y sigue.Falló miserablemente en todos ellos, pero hubo suficiente interés para evitar que me desvíe hasta el final. Aunque aprecio el Espíritu detrás de la guerra, inc., Me deprime que vea un esfuerzo tan torpe, especialmente cuando seaTomado por sus objetivos para reflejar la falta de la existencia de una crítica grave, en lugar de simplemente la mala redacción, dirección y producción de esta película en particular. Hay una crítica que se debe hacer sobre la corporatización de la guerra.Pero hurgando divertirse de esta manera disminuye la verdadera atrocidad de lo que está sucediendo.Me recuerda un poco de tres reyes, lo que de manera similar trivializa una causa genuina de preocupación.",negative,negativo
28,"This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But, I was wrong. First, the weird looping? It was like watching ""America's Funniest Home Videos"". The damn parents. I hated them so much. The stereo-typical Latino family? I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone? I just hated her and had to mention it. Now, the final scene transcends, I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.",negative,negativo
29,"'Película de guerra' es un género de Hollywood que se ha hecho y rehecho tantas veces que el diálogo de cliché, la trama de reajuste y las secuencias de acción sobre la máxima sensación parecen inevitables para cualquier conflicto que se ocupe de un combate a gran escala. Sin embargo, de vez en cuando, aparece una película de guerra que va contra el grano y trae una historia verdaderamente original y convincente a la vida en la pantalla de plata. La era de la guerra civil ""Fried Mountain"", protagonizada por Jude Dery, Nicole Kidman y Renée Zellweger es una película de este tipo. Entonces, llamando a la Montaña Cold ""Una película de guerra no es del todo precisa. Lo suficientemente precioso), la película se abre con A (literalmente, literalmente ) Secuencia de batalla rápida y sucia que pone la vergüenza de la ""gloria"" de Edward Zwick. Sin embargo, la ""montaña fría"" no se trata de la guerra civil a sí misma, ya que es sobre el período y la gente de los tiempos. La historia se centra alrededor El soldado confederado enrojecido, el soldado, desempeñado por la ley de Judas, que se disgonera con la espantosa guerra y la nostalgia por la hermosa aldea de la montaña fría, Carolina del Norte y la belleza surhernal, que dejó atrás, Ada Monroe, interpretada por Nicole Kidman. A primera vista ¡Esta configuración aparece fórmulaica a medida que el interés romántico en casa le da a la audiencia suficiente simpatía a la raíz de las tribulaciones reticentes del soldado en el campo de batalla. De hecho, los segmentos anteriores de la película son relativamente poco impresionantes e incluso un poco contraprestantes En vivo. ""Sin embargo, la Montaña Frída"", sin embargo, se necesita un giro drástico, ya que el intrépido héroe Intrepid Inman resulta ser un desertor (ahorrando incidentalmente a la audiencia del escenario potencialmente confuso de querer arraigar los confederados) y comienza una larga Odyssey Inicio. Mientras tanto, de vuelta a la granja, las formas cultivadas de ADA proban poco uso en los campos; Pronto se transforma en algo de un Wilderbeast. Al venir al rescate de Ada, es el curso, tiendum, las nails Ruby Thes, interpreten por Renée Zellweger, que ayuda a Ada a colocar la granja y, quizás lo más importante, enfrentar la soledad y el aislamiento, la guerra parece haber traído a Ada. Dentro de estas dos configuraciones, se desarrolla un retrato vívido, convincente y, a veces, muy perturbador del sur rasgado de la guerra. Los personajes con los que interactúan en el que interactúan son sorprendentemente complejos, mejorados por maravillosos actuaciones de Brendan Gleeson como el padre de Deadbeat de Ruby, Ray Winstone como un ""legislador"" no declarado, y Natalie Portman, como una joven madre profundamente problemática y aislada. Todos han sido considerados enormemente afectados y cambiados por ""la guerra de la agresión del norte"", en su mayoría para peor. El mensaje antienvolumen oscuro, impregnado, acentuado por una puntuación efectiva y inquietante y hermosas hermosas tomas de Virginia y Carolina del Norte, se comunica a la audiencia, no tanto por las escenas de batalla espantosas como por la tierra cicatrizada y las personas traumatizadas para las cuales la guerra fue luchado Aunque las armas y tácticas de la guerra en sí han cambiado mucho en el siglo pasado, es un efecto infernal en la tierra es pertinente atemporamente. Elirector Anthony Minghella logra mantener este ambiente sombrío para la mayor parte de la película, pero el ambiente lamentablemente denigrado por un lugar más bien Climax tepid que hace poca justicia a los personajes maravillosamente formados. La historia de amor entre el inman y la ADA se destaca torpemente al principio y al final de la película, aunque la naturaleza intrínsecamente distante, abstraída e incluso absurda de su relación en una forma se ajusta a la naturaleza triste del resto de la trama. No hay error, ""Cold Mountain"" no tiene los rasgos de un buen romance ni un drama de guerra inspirador. Es una visión única de una era que está segura de no solo entretener, sino también para absorber verdaderamente a la audiencia en las vidas de una gente desgarrada por una guerra y completamente desesperada por deshacerse de sus terribles repercusiones por completo.",positive,positivo
30,"Taut and organically gripping, Edward Dmytryk's Crossfire is a distinctive suspense thriller, an unlikely ""message"" movie using the look and devices of the noir cycle.Bivouacked in Washington, DC, a company of soldiers cope with their restlessness by hanging out in bars. Three of them end up at a stranger's apartment where Robert Ryan, drunk and belligerent, beats their host (Sam Levene) to death because he happens to be Jewish. Police detective Robert Young investigates with the help of Robert Mitchum, who's assigned to Ryan's outfit. Suspicion falls on the second of the three (George Cooper), who has vanished. Ryan slays the third buddy (Steve Brodie) to insure his silence before Young closes in.Abetted by a superior script by John Paxton, Dmytryk draws precise performances from his three starring Bobs. Ryan, naturally, does his prototypical Angry White Male (and to the hilt), while Mitchum underplays with his characteristic alert nonchalance (his role, however, is not central); Young may never have been better. Gloria Grahame gives her first fully-fledged rendition of the smart-mouthed, vulnerable tramp, and, as a sad sack who's leeched into her life, Paul Kelly haunts us in a small, peripheral role that he makes memorable.The politically engaged Dmytryk perhaps inevitably succumbs to sermonizing, but it's pretty much confined to Young's reminiscence of how his Irish grandfather died at the hands of bigots a century earlier (thus, incidentally, stretching chronology to the limit). At least there's no attempt to render an explanation, however glib, of why Ryan hates Jews (and hillbillies and...).Curiously, Crossfire survives even the major change wrought upon it -- the novel it's based on (Richard Brooks' The Brick Foxhole) dealt with a gay-bashing murder. But homosexuality in 1947 was still Beyond The Pale. News of the Holocaust had, however, begun to emerge from the ashes of Europe, so Hollywood felt emboldened to register its protest against anti-Semitism (the studios always quaked at the prospect of offending any potential ticket buyer).But while the change from homophobia to anti-Semitism works in general, the specifics don't fit so smoothly. The victim's chatting up a lonesome, drunk young soldier then inviting him back home looks odd, even though (or especially since) there's a girlfriend in tow. It raises the question whether this scenario was retained inadvertently or left in as a discreet tip-off to the original engine generating Ryan's murderous rage.",positive,positivo
